Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C2680878,IRLZ44NSTRR-VB,VBsemi Elec,TO-263(D2PAK),,N-Channel 60V 75A 136W Surface Mount TO-263(D2PAK),-,2,1,1,1.0013,2.00,https://www.lcsc.com/product-detail/C2680878.html
2,C2907218,FRC0805F1000TS,FOJAN,0805,,100Ω ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0023,0.23,https://www.lcsc.com/product-detail/C2907218.html
3,C2907219,FRC0805F1002TS,FOJAN,0805,,10kΩ ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0022,0.22,https://www.lcsc.com/product-detail/C2907219.html
4,C908680,SS34,GOODWORK,SMA(DO-214AC),,Diode Independent 40V 3A Surface Mount SMA(DO-214AC),yes,20,20,20,0.0264,0.53,https://www.lcsc.com/product-detail/C908680.html
5,C57668,"BC847B,215",Nexperia,SOT-23,,Bipolar (BJT) Transistor NPN 45V 100mA 100MHz 250mW Surface Mount SOT-23,yes,50,50,50,0.0163,0.82,https://www.lcsc.com/product-detail/C57668.html
6,C474881,KF301-5.0-2P,Cixi Kefa Elec,"Through Hole,P=5mm",,2 Position Wire to Board Terminal Block Through Hole 5mm,yes,5,5,5,0.1003,0.50,https://www.lcsc.com/product-detail/C474881.html
7,C52016392,HX PH254-01-04-Z-L11.5 straight pin header,hanxia,"Through Hole,P=2.54mm",,"Pin Header 1 2.5mm 6mm -40℃~+105℃ 3mm 4P 2.54mm 3A 1kV 1x4P Through Hole,P=2.54mm Headers, Male Pins RoHS",yes,20,20,20,0.0293,0.59,https://www.lcsc.com/product-detail/C52016392.html
8,C72518,RVT1E471M1010,ROQANG,"SMD,D10xL10.2mm",,470uF ±20% 25V Aluminum Electrolytic Capacitors 2000hrs@105℃,yes,5,5,5,0.1085,0.54,https://www.lcsc.com/product-detail/C72518.html
9,C2907232,FRC0805F1001TS,FOJAN,0805,,1kΩ ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0022,0.22,https://www.lcsc.com/product-detail/C2907232.html
10,C49678,CC0805KRX7R9BB104,YAGEO,0805,,100nF ±10% 50V Ceramic Capacitor X7R 0805,yes,100,100,100,0.0078,0.78,https://www.lcsc.com/product-detail/C49678.html
11,C41430593,IRFR9024N,DOINGTER,TO-252,,P-Channel 60V 13A 36W Surface Mount TO-252,yes,5,5,5,0.0901,0.45,https://www.lcsc.com/product-detail/C41430593.html
